molecule_id,created_on,updated_on,hid,smiles,smiles_wo_block,commercially_available,CAS,molecule_type_id
2d83fadb-4b36-42a3-a29d-1ff30b8972d6,2022-01-18T13:09:02.839161,2022-01-18T13:09:02.839161,C001,BrC1=CC=C(C2=CC=C(Br)C=C2)C=C1,Cc1ccc(-c2ccc(C)cc2)cc1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
d84002d6-88ab-4007-80e3-629404e64478,2022-01-18T13:09:11.029798,2022-01-18T13:09:11.029798,C002,IC1=CC=C(C=C1)I,Cc1ccc(C)cc1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
c995b067-f927-40cc-98ce-f067b07ef086,2022-01-18T13:09:19.129464,2022-01-18T13:09:19.129464,C003,BrC1=CC(C)=C(C=C1C)Br,Cc1cc(C)c(C)cc1C,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
26c859cf-a527-4d48-aa3c-97f91b49073d,2022-01-18T13:09:28.844210,2022-01-18T13:09:28.844210,C004,BrC1=C(C(F)=C(C(F)=C1F)C2=C(C(F)=C(C(F)=C2F)Br)F)F,Cc1c(F)c(F)c(-c2c(F)c(F)c(C)c(F)c2F)c(F)c1F,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
76d1382a-9290-49c6-8868-642282178219,2022-01-18T13:09:41.421441,2022-01-18T13:09:41.421441,C005,BrC1=CC=C(C2=C1)C3=C(C2(C)C)C=C(Br)C=C3,Cc1ccc2c(c1)C(C)(C)c1cc(C)ccc1-2,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
05363cc8-5e01-4253-ac1c-a7b072bbb49b,2022-01-18T13:09:49.576200,2022-01-18T13:09:49.576200,C006,BrC1=CC=C(C2=C1)C3=C(C2=O)C=C(Br)C=C3,Cc1ccc2c(c1)C(=O)c1cc(C)ccc1-2,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
3762294e-0f0a-4d6d-bc4f-1a22b90f5c7d,2022-01-18T13:09:57.715869,2022-01-18T13:09:57.715869,C007,BrC1=CC=C2C3=C(NC2=C1)C=C(Br)C=C3,Cc1ccc2c(c1)[nH]c1cc(C)ccc12,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
b43907c3-83d8-4f12-8557-c288aa73e579,2022-01-18T13:10:05.757040,2022-01-18T13:10:05.757040,C008,BrC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)Br,Cc1c2ccccc2c(C)c2ccccc12,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
bdf2d65b-5a44-4027-9e3a-711bf83cf8af,2022-01-18T13:10:13.852927,2022-01-18T13:10:13.852927,C009,BrC1=C2C(C=CC=C2)=C(C3=CC=CC=C31)C4=C5C=CC=CC5=C(C6=C4C=CC=C6)Br,Cc1c2ccccc2c(-c2c3ccccc3c(C)c3ccccc23)c2ccccc12,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
c9ad9ef7-4029-43f8-92ba-b7f3e30dc151,2022-01-18T13:10:21.930532,2022-01-18T13:10:21.930532,C010,BrC1=CC=C2C=C(C=CC2=C1)Br,Cc1ccc2cc(C)ccc2c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
6df57580-8d42-45a5-b5c8-6895aea01dd0,2022-01-18T13:10:30.029613,2022-01-18T13:10:30.029613,C011,BrC1=CC2=C(S1)C=C(Br)S2,Cc1cc2sc(C)cc2s1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
ca41ee1c-2dac-4c12-89f3-72e49485509d,2022-01-18T13:10:38.146932,2022-01-18T13:10:38.146932,C012,BrC1=CC=C(C2=NSN=C21)Br,Cc1ccc(C)c2nsnc12,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
ca36fd95-9336-4a81-96ad-bacd365026ee,2022-01-18T13:10:46.349323,2022-01-18T13:10:46.349323,C013,BrC1=CN=C(C2=NSN=C21)Br,Cc1cnc(C)c2nsnc12,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
338fe5c0-2ac2-4742-9fac-b183065871e6,2022-01-18T13:10:54.489212,2022-01-18T13:10:54.489212,C014,FC1=C(C(F)=C(C(F)=C1Br)F)Br,Cc1c(F)c(C)c(F)c(F)c1F,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
b4f3c922-7b1d-46c9-9f70-1b20a80b6578,2022-01-18T13:11:02.698694,2022-01-18T13:11:02.698694,C015,NC1=C(C=CC(Br)=C1)C2=CC=C(C=C2N)Br,Cc1ccc(-c2ccc(C)cc2N)c(N)c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
a51f170b-2355-4d10-9567-b7ab304bfa3a,2022-01-18T13:11:10.877990,2022-01-18T13:11:10.877990,C016,BrC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)Br,Cc1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
ae3fa8ef-7627-4fb4-96b6-e0be870ee52e,2022-01-18T13:11:19.067227,2022-01-18T13:11:19.067227,C017,BrC1=CC=C(C=C1)C2=C(C=C(C(C)=C2)C3=CC=C(C=C3)Br)C,Cc1ccc(-c2cc(C)c(-c3ccc(C)cc3)cc2C)cc1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
d9a405a7-f946-4225-bb67-f11e2ab6afcc,2022-01-18T13:11:27.130652,2022-01-18T13:11:27.130652,C018,BrC1=CC=C(C=C1F)Br,Cc1ccc(C)c(F)c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
be74f159-3f9f-4035-9b13-d1c2d9765475,2022-01-18T13:11:35.264769,2022-01-18T13:11:35.264769,C019,BrC1=C(C(F)=C(C(F)=C1F)Br)F,Cc1c(F)c(F)c(C)c(F)c1F,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
58b85dc9-cc05-4a2c-985d-912db5916542,2022-01-18T13:11:43.502026,2022-01-18T13:11:43.502026,C020,BrC1=CC(OC)=C(C=C1OC)Br,COc1cc(C)c(OC)cc1C,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
00560c08-7d7c-4b1f-9203-931fa96c2dcc,2022-01-18T13:11:51.629409,2022-01-18T13:11:51.629409,C021,BrC1=CC=C(C=C1C(F)(F)F)Br,Cc1ccc(C)c(C(F)(F)F)c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
d92db27b-c701-4fd5-8904-40457e9f38c6,2022-01-18T13:11:59.847645,2022-01-18T13:11:59.847645,C022,BrC1=CC=C(C=C1[N+]([O-])=O)Br,Cc1ccc(C)c([N+](=O)[O-])c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
12f46719-5dd9-471f-b9d5-53006acb4e8f,2022-01-18T13:12:08.022667,2022-01-18T13:12:08.022667,C023,BrC1=CC=C(C=C1N)Br,Cc1ccc(C)c(N)c1,False,,85e4af58-6d1e-49cb-88bd-7efe7773bb64
