Identifier,SMILES,Synthesis Procedure,Optical Measurements,Absorption Wavelength (nm),Emission Wavelength (nm),Photoluminescence Quantum Yield,Photoluminescence Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Gain Cross Section (cm^2)
A014B014C027,COc1cc(-c2ccc(N(C)C)cc2)cc(-c2sc(-c3cc(OC)cc(-c4ccc(N(C)C)cc4)c3)c3c2OCCO3)c1,First-Generation Conditions,Poor Yield,,,,,,
A017B024C027,Cn1ccc2cc(-c3ccc4oc(-c5sc(-c6cc7cc(-c8ccc9c(ccn9C)c8)ccc7o6)c6c5OCCO6)cc4c3)ccc21,First-Generation Conditions,Full Characterization,336.27459615093085,423.4807180055759,0.2346381575350527,0.4948189910780682,,1.0066690861097715e-16
A014B017C004,CN(C)c1ccc(-c2ccc(-c3ccc(-c4c(F)c(F)c(-c5c(F)c(F)c(-c6ccc(-c7ccc(-c8ccc(N(C)C)cc8)s7)s6)c(F)c5F)c(F)c4F)s3)s2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B013C005,CN(C)c1ccc(-c2ccc(C#N)c(-c3ccc4c(c3)C(C)(C)c3cc(-c5cc(-c6ccc(N(C)C)cc6)ccc5C#N)ccc3-4)c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B025C027,CN(C)c1ccc(-c2ccc(-c3sc(-c4ccc(-c5ccc(N(C)C)cc5)s4)c4c3OCCO4)s2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A017B012C014,Cn1ccc2cc(-c3cc(F)cc(-c4c(F)c(F)c(F)c(-c5cc(F)cc(-c6ccc7c(ccn7C)c6)c5)c4F)c3)ccc21,First-Generation Conditions,Instrument Failure,,,,,,
A014B021C026,CN(C)c1ccc(-c2ccc(-c3sc(-c4ccc(-c5ccc(N(C)C)cc5)cc4)c([N+](=O)[O-])c3[N+](=O)[O-])cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B016C030,Cn1cnc2ccc(-c3cc(Cl)cc(-c4ccc(-c5cc(Cl)cc(-c6ccc7ncn(C)c7c6)c5)c(C(=O)O)c4)c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A016B024C032,Cn1cnc2ccc(-c3ccc4oc(-c5cc(C(F)(F)F)c(-c6cc7cc(-c8ccc9ncn(C)c9c8)ccc7o6)cn5)cc4c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A014B024C034,CN(C)c1ccc(-c2ccc3oc(-c4ccc5ccc(-c6cc7cc(-c8ccc(N(C)C)cc8)ccc7o6)cc5c4)cc3c2)cc1,First-Generation Conditions,Poor Emission,305.69045238888265,,,,,
A016B011C032,Cn1cnc2ccc(-c3cc(-c4cc(C(F)(F)F)c(-c5cc(-c6ccc7ncn(C)c7c6)cc(C(F)(F)F)c5)cn4)cc(C(F)(F)F)c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A012B006C017,CCn1c2ccccc2c2cc(-c3ccoc3-c3ccc(-c4cc(C)c(-c5ccc(-c6occc6-c6ccc7c(c6)c6ccccc6n7CC)cc5)cc4C)cc3)ccc21,First-Generation Conditions,Full Characterization,300.1890812457546,420.3821797410853,0.6402970892334214,1.812393994445161,,6.659351714169368e-17
A010B026C032,FC(F)(F)c1cc(-c2cccnc2-c2cccc(-n3c4ccccc4c4ccccc43)c2)ncc1-c1cccnc1-c1cccc(-n2c3ccccc3c3ccccc32)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A012B014C007,CCn1c2ccccc2c2cc(-c3cc(OC)cc(-c4ccc5c(c4)[nH]c4cc(-c6cc(OC)cc(-c7ccc8c(c7)c7ccccc7n8CC)c6)ccc45)c3)ccc21,First-Generation Conditions,Full Characterization,332.35983904851275,406.4241251619106,0.7207594980484686,1.447876776796393,,1.133130599191227e-16
A015B016C020,COc1cc(-c2cc(Cl)cc(-c3ccc(N(C)C)c4ccccc34)c2)c(OC)cc1-c1cc(Cl)cc(-c2ccc(N(C)C)c3ccccc23)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B013C017,Cc1cc(-c2ccc(-c3cc(-c4ccc(N(C)C)cc4)ccc3C#N)cc2)c(C)cc1-c1ccc(-c2cc(-c3ccc(N(C)C)cc3)ccc2C#N)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A017B013C005,Cn1ccc2cc(-c3ccc(C#N)c(-c4ccc5c(c4)C(C)(C)c4cc(-c6cc(-c7ccc8c(ccn8C)c7)ccc6C#N)ccc4-5)c3)ccc21,First-Generation Conditions,Full Characterization,309.6177838720117,472.8965552730122,0.1377394627674537,1.8673556654769496,,1.3908929833244606e-17
A015B026C039,CN(C)c1ccc(-c2ncccc2-c2cccc(-c3cccc(-c4cccc(-c5cccnc5-c5ccc(N(C)C)c6ccccc56)n4)n3)n2)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A014B016C042,CN(C)c1ccc(-c2cc(Cl)cc(-c3cc(O)c(-c4cc(Cl)cc(-c5ccc(N(C)C)cc5)c4)cc3O)c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A015B010C014,CN(C)c1ccc(-c2cccc(-c3c(F)c(F)c(F)c(-c4cccc(-c5ccc(N(C)C)c6ccccc56)c4F)c3F)c2F)c2ccccc12,First-Generation Conditions,Failed Synthesis,,,,,,
A014B017C026,CN(C)c1ccc(-c2ccc(-c3ccc(-c4sc(-c5ccc(-c6ccc(-c7ccc(N(C)C)cc7)s6)s5)c([N+](=O)[O-])c4[N+](=O)[O-])s3)s2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A017B017C027,Cn1ccc2cc(-c3ccc(-c4ccc(-c5sc(-c6ccc(-c7ccc(-c8ccc9c(ccn9C)c8)s7)s6)c6c5OCCO6)s4)s3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A014B016C011,CN(C)c1ccc(-c2cc(Cl)cc(-c3cc4sc(-c5cc(Cl)cc(-c6ccc(N(C)C)cc6)c5)cc4s3)c2)cc1,First-Generation Conditions,Instrument Failure,,,,,,
A014B006C005,CN(C)c1ccc(-c2ccoc2-c2ccc3c(c2)C(C)(C)c2cc(-c4occc4-c4ccc(N(C)C)cc4)ccc2-3)cc1,First-Generation Conditions,Full Characterization,362.845914751479,490.5814655991499,0.533374024663943,2.4349731729976263,,5.847297256213274e-17
A002B026C013,c1ccc(N(c2ccccc2)c2ccc(-c3ncccc3-c3cnc(-c4cccnc4-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nsnc34)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A002B011C039,FC(F)(F)c1cc(-c2ccc(N(c3ccccc3)c3ccccc3)cc2)cc(-c2cccc(-c3cccc(-c4cccc(-c5cc(-c6ccc(N(c7ccccc7)c7ccccc7)cc6)cc(C(F)(F)F)c5)n4)n3)n2)c1,First-Generation Conditions,Instrument Failure,,,,,,
A014B012C004,CN(C)c1ccc(-c2cc(F)cc(-c3c(F)c(F)c(-c4c(F)c(F)c(-c5cc(F)cc(-c6ccc(N(C)C)cc6)c5)c(F)c4F)c(F)c3F)c2)cc1,First-Generation Conditions,Full Characterization,300.1890812457546,529.656487319634,0.4437730515176479,3.3033562210407204,,4.1700128183208746e-17
A010B011C004,Fc1c(F)c(-c2c(F)c(F)c(-c3cc(-c4cccc(-n5c6ccccc6c6ccccc65)c4)cc(C(F)(F)F)c3)c(F)c2F)c(F)c(F)c1-c1cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(C(F)(F)F)c1,First-Generation Conditions,Instrument Failure,,,,,,
A014B006C014,CN(C)c1ccc(-c2ccoc2-c2c(F)c(F)c(F)c(-c3occc3-c3ccc(N(C)C)cc3)c2F)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B005C032,Cn1cnc2ccc(-c3cncc(-c4cc(C(F)(F)F)c(-c5cncc(-c6ccc7ncn(C)c7c6)c5)cn4)c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
