Identifier,SMILES,Synthesis Procedure,Optical Measurements,Absorption Wavelength (nm),Emission Wavelength (nm),Photoluminescence Quantum Yield,Photoluminescence Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Gain Cross Section (cm^2)
A015B060C143,CN(C)c1ccc(-c2ccccc2-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3-c3ccc(N(C)C)c4ccccc34)c3nsnc23)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B056C143,CN(C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(N(C)C)cc5)s4)c4nsnc34)s2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A039B060C143,CCn1c2ccccc2c2cc(-c3ccccc3-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4-c4ccc5c(c4)c4ccccc4n5CC)c4nsnc34)ccc21,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B056C143,CN(C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(N(C)C)c6ccccc56)s4)c4nsnc34)s2)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A042B059C143,Cn1ccc2cc(-c3ccc4oc(-c5ccc(-c6cc7cc(-c8ccc9c(ccn9C)c8)ccc7o6)c6nsnc56)cc4c3)ccc21,Second-Generation Conditions,Failed Synthesis,,,,,,
A041B046C154,Cn1cnc2ccc(-c3cc(F)cc(-c4cc(-c5cc(F)cc(-c6ccc7ncn(C)c7c6)c5)cc(N5CCC6(CC5)OCCO6)c4)c3)cc21,Second-Generation Conditions,Poor Yield,,,,,,
A038B047C092,Cc1cc(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)cc(C(F)(F)F)c2)ncc1-c1cc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)cc(C(F)(F)F)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A038B067C092,Cc1cc(-c2cc(-c3ccc4c5ccccc5n(-c5ccccc5)c4c3)no2)ncc1-c1cc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)no1,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B046C143,CN(C)c1ccc(-c2cc(F)cc(-c3ccc(-c4cc(F)cc(-c5ccc(N(C)C)cc5)c4)c4nsnc34)c2)cc1,Second-Generation Conditions,Poor Emission,300.1890812457546,,,,,
A041B059C143,Cn1cnc2ccc(-c3ccc4oc(-c5ccc(-c6cc7cc(-c8ccc9ncn(C)c9c8)ccc7o6)c6nsnc56)cc4c3)cc21,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B055C143,CN(C)c1ccc(-c2ccc(C(F)(F)F)cc2-c2ccc(-c3cc(C(F)(F)F)ccc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,Second-Generation Conditions,Poor Emission,300.1890812457546,,,,,
A001B001C029,Cc1cc(C=Cc2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)ccc1C=Cc1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Poor Yield,,,,,,
A001B001C036,C(=C/c1cccc(/C=C/c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)c1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C036,c1cc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)cc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C037,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc3oc(-c4ccsc4-c4sccc4-c4cc5cc(-c6ccc(-n7c8ccccc8c8ccccc87)cc6)ccc5o4)cc3c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B001C034,C(=C/c1ccc2ccc(/C=C/c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)cc2c1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B001C038,C(=C/c1ccc(-c2ccc(-c3ccc(/C=C/c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc4)s3)s2)s1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B001C032,FC(F)(F)c1cc(/C=C/c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)ncc1/C=C/c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Full Characterization,367.52609778903405,443.5923987049346,0.7956293363047616,1.0856697285623853,,1.844313699675908e-16
A001B001C037,C(=C/c1ccsc1-c1sccc1/C=C/c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C040,c1cc(-c2cccc(-c3cc4cc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)ccc4o3)n2)nc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c1,First-Generation Conditions,Poor Yield,,,,,,
A001B024C039,c1cc(-c2cccc(-c3cc4cc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)ccc4o3)n2)nc(-c2cccc(-c3cc4cc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)ccc4o3)n2)c1,First-Generation Conditions,Full Characterization,301.7612714702151,406.4241251619106,0.1373663916395771,0.908706184499727,,2.5463970440500076e-17
A001B001C031,C(=C/c1ccc(/C=C/c2ccc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc2)nn1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C038,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc3oc(-c4ccc(-c5ccc(-c6ccc(-c7cc8cc(-c9ccc(-n%10c%11ccccc%11c%11ccccc%11%10)cc9)ccc8o7)s6)s5)s4)cc3c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B001C035,C(=C/c1ccccc1-c1ccccc1/C=C/c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B001C040,C(=C/c1cccc(-c2cccc(/C=C/c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)n2)n1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A001B024C035,c1ccc(-c2ccccc2-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c1,First-Generation Conditions,Full Characterization,300.1890812457546,385.4421431325997,0.4208552159043451,1.1865228063942794,,5.5134605885963586e-17
A001B001C039,C(=C/c1cccc(-c2cccc(-c3cccc(/C=C/c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc4)n3)n2)n1)\c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,First-Generation Conditions,Full Characterization,341.75214993765326,445.13738224084034,0.0609509715741523,1.1351939254546408,,1.2154451709635269e-17
A042B060C143,Cn1ccc2cc(-c3ccccc3-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4-c4ccc5c(ccn5C)c4)c4nsnc34)ccc21,Second-Generation Conditions,Failed Synthesis,,,,,,
A037B060C143,c1cc(-c2ccccc2-c2ccccc2-c2ccc(-c3ccccc3-c3ccccc3-c3cccc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)cc(-n2c3ccccc3c3ccccc32)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B061C143,CN(C)c1ccc(-c2cnccc2-c2ccc(-c3ccncc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A040B059C143,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3ccc4oc(-c5ccc(-c6cc7cc(-c8ccc(-n9c(-c%10ccccc%10)nc%10ccccc%109)cc8)ccc7o6)c6nsnc56)cc4c3)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A040B060C143,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3ccccc3-c3ccccc3-c3ccc(-c4ccccc4-c4ccccc4-c4ccc(-n5c(-c6ccccc6)nc6ccccc65)cc4)c4nsnc34)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A038B040C109,CC(C)(C)OC(=O)n1nc(-c2cccnc2-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)nc1-c1cccnc1-c1ccc2c3ccccc3n(-c3ccccc3)c2c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A038B048C047,Fc1cccc(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)c1-c1ccc(OC(F)(F)F)cc1-c1c(F)cccc1-c1ccc2c3ccccc3n(-c3ccccc3)c2c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A038B040C087,Cc1cc(-c2cccnc2-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)sc1-c1cccnc1-c1ccc2c3ccccc3n(-c3ccccc3)c2c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A039B056C143,CCn1c2ccccc2c2cc(-c3ccc(-c4ccc(-c5ccc(-c6ccc7c(c6)c6ccccc6n7CC)s5)c5nsnc45)s3)ccc21,Second-Generation Conditions,Full Characterization,300.1890812457546,395.5513052313373,0.0610655676291309,1.0873576996787644,,1.870582497901125e-18
A014B067C143,CN(C)c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccc(N(C)C)cc5)no4)c4nsnc34)on2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B062C143,CN(C)c1ccc(-c2cccc(-c3ccc(-c4cccc(-c5ccc(N(C)C)cc5)c4F)c4nsnc34)c2F)cc1,Second-Generation Conditions,Poor Yield,,,,,,
A037B040C114,CC(C)(C)n1cc(-c2cccnc2-c2cccc(-n3c4ccccc4c4ccccc43)c2)c(-c2cccnc2-c2cccc(-n3c4ccccc4c4ccccc43)c2)n1,Second-Generation Conditions,Failed Synthesis,,,,,,
A042B056C130,CCCCCCN1c2ccc(-c3ccc(-c4ccc5c(ccn5C)c4)s3)cc2Sc2cc(-c3ccc(-c4ccc5c(ccn5C)c4)s3)ccc21,Second-Generation Conditions,Full Characterization,300.1890812457546,458.2578109070844,0.2279813019697084,0.8161576117917093,,
A040B056C078,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3ccc(-c4csc(-c5ccc(-c6ccc(-n7c(-c8ccccc8)nc8ccccc87)cc6)s5)n4)s3)cc2)cc1,Second-Generation Conditions,Full Characterization,300.1890812457546,470.586947364168,0.0803243407048561,0.6508668831378623,,
A040B045C083,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3cncc(-c4cc(C5CCCCC5)c(-c5cncc(-c6ccc(-n7c(-c8ccccc8)nc8ccccc87)cc6)c5)s4)c3)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A037B040C068,c1cc(-c2ncccc2-c2sc3ccccc3c2-c2cccnc2-c2cccc(-n3c4ccccc4c4ccccc43)c2)cc(-n2c3ccccc3c3ccccc32)c1,Second-Generation Conditions,False,,,,,,
A010B009C154,c1cc(-c2cc(-c3cccc(-c4cccc(-n5c6ccccc6c6ccccc65)c4)c3)cc(N3CCC4(CC3)OCCO4)c2)cc(-c2cccc(-n3c4ccccc4c4ccccc43)c2)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A013B004C154,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3ncccc3-c3cc(-c4cccnc4-c4ccc(-n5c(-c6ccccc6)nc6ccccc65)cc4)cc(N4CCC5(CC4)OCCO5)c3)cc2)cc1,First-Generation Conditions,False,,,,,,
A012B025C130,CCCCCCN1c2ccc(-c3ccc(-c4ccc5c(c4)c4ccccc4n5CC)s3)cc2Sc2cc(-c3ccc(-c4ccc5c(c4)c4ccccc4n5CC)s3)ccc21,First-Generation Conditions,False,,,,,,
A015B025C116,CN(C)c1ccc(-c2ccc(-c3csc(C(=O)O)c3-c3ccc(-c4ccc(N(C)C)c5ccccc45)s3)s2)c2ccccc12,First-Generation Conditions,False,,,,,,
A014B050C009,CCOC(=O)c1cc(-c2ccc(N(C)C)cc2)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(N(C)C)cc5)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Full Characterization,399.4361182318615,477.5137768335029,0.050683320551595,1.0488292349036703,,1.2911417650151794e-17
A024B050C009,CCOC(=O)c1cc(-c2ccc(N3c4ccccc4C(C)(C)c4ccccc43)cc2)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(N6c7ccccc7C(C)(C)c7ccccc76)cc5)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B033C009,CCOc1c(-c2ccc(N(C)C)c3ccccc23)cc(Cl)cc1-c1c2ccccc2c(-c2c3ccccc3c(-c3cc(Cl)cc(-c4ccc(N(C)C)c5ccccc45)c3OCC)c3ccccc23)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B050C009,CCOC(=O)c1cc(-c2ccc(N(C)C)c3ccccc23)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(N(C)C)c6ccccc56)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A022B050C009,CCOC(=O)c1cc(-c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(N6c7ccccc7Sc7ccc(C(F)(F)F)cc76)cc5)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B052C009,CN(C)c1ccc(-c2cc(-c3c4ccccc4c(-c4c5ccccc5c(-c5cc(-c6ccc(N(C)C)c7ccccc67)c6ccccc6c5F)c5ccccc45)c4ccccc34)c(F)c3ccccc23)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A003B055C095,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3-c3cn([Si](C(C)C)(C(C)C)C(C)C)cc3-c3cc(C(F)(F)F)ccc3-c3ccc(N(c4ccc(OC)cc4)c4ccc(OC)cc4)cc3)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A003B046C095,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc(F)cc(-c4cn([Si](C(C)C)(C(C)C)C(C)C)cc4-c4cc(F)cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)c4)c3)cc2)cc1,Second-Generation Conditions,Full Characterization,330.79341849721857,493.653114117718,0.2770291709525441,5.50907180543464,,1.429054431301215e-17
A003B047C095,COc1ccc(N(c2ccc(OC)cc2)c2ccc(-c3cc(-c4cn([Si](C(C)C)(C(C)C)C(C)C)cc4-c4cc(-c5ccc(N(c6ccc(OC)cc6)c6ccc(OC)cc6)cc5)cc(C(F)(F)F)c4)cc(C(F)(F)F)c3)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A023B050C009,CCOC(=O)c1cc(-c2ccc(N3c4ccccc4Sc4ccc(OC)cc43)cc2)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(N6c7ccccc7Sc7ccc(OC)cc76)cc5)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A001B003C016,C(=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1)\c1ccc(-c2ccc(-c3ccc(/C=C/c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)cc2)cc1,Wu et al. 2023,Failed Synthesis,,,,,,
A017B017C011,Cn1ccc2cc(-c3ccc(-c4ccc(-c5cc6sc(-c7ccc(-c8ccc(-c9ccc%10c(ccn%10C)c9)s8)s7)cc6s5)s4)s3)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A016B007C005,Cn1ncc(-c2ccc3ncn(C)c3c2)c1-c1ccc2c(c1)C(C)(C)c1cc(-c3c(-c4ccc5ncn(C)c5c4)cnn3C)ccc1-2,First-Generation Conditions,Failed Synthesis,,,,,,
A002B017C014,Fc1c(F)c(-c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)c(F)c(-c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)s3)s2)c1F,First-Generation Conditions,Failed Synthesis,,,,,,
A018B055C095,Cc1ccc(N(c2ccc(C)cc2)c2ccc(-c3ccc(C(F)(F)F)cc3-c3cn([Si](C(C)C)(C(C)C)C(C)C)cc3-c3cc(C(F)(F)F)ccc3-c3ccc(N(c4ccc(C)cc4)c4ccc(C)cc4)cc3)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A027B050C009,CCOC(=O)c1cc(-c2ccc(-n3c4ccc(C)cc4c4cc(C)ccc43)cc2)cc(-c2c3ccccc3c(-c3c4ccccc4c(-c4cc(C(=O)OCC)cc(-c5ccc(-n6c7ccc(C)cc7c7cc(C)ccc76)cc5)c4)c4ccccc34)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B046C143,CN(C)c1ccc(-c2cc(F)cc(-c3ccc(-c4cc(F)cc(-c5ccc(N(C)C)c6ccccc56)c4)c4nsnc34)c2)c2ccccc12,Second-Generation Conditions,Poor Emission,316.6823201784459,,,,,
A027B052C009,Cc1ccc2c(c1)c1cc(C)ccc1n2-c1ccc(-c2cc(-c3c4ccccc4c(-c4c5ccccc5c(-c5cc(-c6ccc(-n7c8ccc(C)cc8c8cc(C)ccc87)cc6)c6ccccc6c5F)c5ccccc45)c4ccccc34)c(F)c3ccccc23)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B061C143,CN(C)c1ccc(-c2cnccc2-c2ccc(-c3ccncc3-c3ccc(N(C)C)c4ccccc34)c3nsnc23)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B059C056,CCCCCCCCCCOc1cc(-c2cc3cc(-c4ccc(N(C)C)cc4)ccc3o2)c(OCCCCCCCCCC)cc1-c1cc2cc(-c3ccc(N(C)C)cc3)ccc2o1,Second-Generation Conditions,Full Characterization,365.18633898491737,474.4359245684383,0.107733821530838,1.9218734422121448,,1.6834029673033486e-17
A014B038C143,CN(C)c1ccc(-c2ccccc2-c2ccc(-c3ccccc3-c3ccc(N(C)C)cc3)c3nsnc23)cc1,Second-Generation Conditions,Poor Yield,,,,,,
A014B045C143,CN(C)c1ccc(-c2cncc(-c3ccc(-c4cncc(-c5ccc(N(C)C)cc5)c4)c4nsnc34)c2)cc1,Second-Generation Conditions,Poor Yield,,,,,,
A014B037C143,CN(C)c1ccc(-c2ccc(-c3ccc(-c4ccc(-c5ccc(N(C)C)cc5)cc4)c4nsnc34)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A014B047C143,CN(C)c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccc(N(C)C)cc5)cc(C(F)(F)F)c4)c4nsnc34)cc(C(F)(F)F)c2)cc1,Second-Generation Conditions,Poor Emission,311.1881986383553,,,,,
A015B040C095,CC(C)[Si](C(C)C)(C(C)C)n1cc(-c2cccnc2-c2ccc(N(C)C)c3ccccc23)c(-c2cccnc2-c2ccc(N(C)C)c3ccccc23)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A001B003C026,O=[N+]([O-])c1c(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)sc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1[N+](=O)[O-],Wu et al. 2023,Failed Synthesis,,,,,,
A014B011C020,COc1cc(-c2cc(-c3ccc(N(C)C)cc3)cc(C(F)(F)F)c2)c(OC)cc1-c1cc(-c2ccc(N(C)C)cc2)cc(C(F)(F)F)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B014C014,COc1cc(-c2ccc3ncn(C)c3c2)cc(-c2c(F)c(F)c(F)c(-c3cc(OC)cc(-c4ccc5ncn(C)c5c4)c3)c2F)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B002C027,CN(C)c1ccc(-c2ccsc2-c2sc(-c3sccc3-c3ccc(N(C)C)cc3)c3c2OCCO3)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A004B014C011,COc1cc(-c2ccc(N(C(=O)OC(C)(C)C)c3ccccc3)cc2)cc(-c2cc3sc(-c4cc(OC)cc(-c5ccc(N(C(=O)OC(C)(C)C)c6ccccc6)cc5)c4)cc3s2)c1,First-Generation Conditions,Poor Emission,306.4760666382026,,,,,
A016B005C011,Cn1cnc2ccc(-c3cncc(-c4cc5sc(-c6cncc(-c7ccc8ncn(C)c8c7)c6)cc5s4)c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A014B018C013,CN(C)c1ccc(-c2ccc(-c3cnc(-c4ccc(-c5ccc(N(C)C)cc5)nc4)c4nsnc34)cn2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B040C095,CC(C)[Si](C(C)C)(C(C)C)n1cc(-c2cccnc2-c2ccc(N(C)C)cc2)c(-c2cccnc2-c2ccc(N(C)C)cc2)c1,Second-Generation Conditions,Failed Synthesis,,,,,,
A015B067C143,CN(C)c1ccc(-c2cc(-c3ccc(-c4cc(-c5ccc(N(C)C)c6ccccc56)no4)c4nsnc34)on2)c2ccccc12,Second-Generation Conditions,Failed Synthesis,,,,,,
A039B040C095,CCn1c2ccccc2c2cc(-c3ncccc3-c3cn([Si](C(C)C)(C(C)C)C(C)C)cc3-c3cccnc3-c3ccc4c(c3)c3ccccc3n4CC)ccc21,Second-Generation Conditions,Failed Synthesis,,,,,,
A016B005C013,Cn1cnc2ccc(-c3cncc(-c4cnc(-c5cncc(-c6ccc7ncn(C)c7c6)c5)c5nsnc45)c3)cc21,First-Generation Conditions,Failed Synthesis,,,,,,
A040B068C143,c1ccc(-c2nc3ccccc3n2-c2ccc(-c3c(-c4ccc(-c5sc6ccccc6c5-c5ccc(-n6c(-c7ccccc7)nc7ccccc76)cc5)c5nsnc45)sc4ccccc34)cc2)cc1,Second-Generation Conditions,Failed Synthesis,,,,,,
A001B003C009,C(=C/c1c2ccccc2c(-c2c3ccccc3c(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)c3ccccc23)c2ccccc12)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Failed Synthesis,,,,,,
A001B003C014,Fc1c(F)c(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c(F)c(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1F,Wu et al. 2023,Failed Synthesis,,,,,,
A001B003C025,C(=C/c1ccc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)s1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Failed Synthesis,,,,,,
A001B003C036,C(=C/c1cccc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Failed Synthesis,,,,,,
A001B003C038,C(=C/c1ccc(-c2ccc(-c3ccc(/C=C/c4ccc(-n5c6ccccc6c6ccccc65)cc4)s3)s2)s1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,Wu et al. 2023,Failed Synthesis,,,,,,
A001B021C009,c1ccc2c(-c3c4ccccc4c(-c4ccc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)cc4)c4ccccc34)c3ccccc3c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)cc3)c2c1,First-Generation Conditions,Failed Synthesis,,,,,,
A002B023C038,c1ccc(N(c2ccccc2)c2ccc(-c3ccccc3-c3ccccc3-c3ccc(-c4ccc(-c5ccc(-c6ccccc6-c6ccccc6-c6ccc(N(c7ccccc7)c7ccccc7)cc6)s5)s4)s3)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A002B026C024,c1ccc(N(c2ccccc2)c2ccc(-c3ncccc3-c3ccc(-c4cccnc4-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nccnc34)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B025C026,CN(C)c1ccc(-c2ccc(-c3sc(-c4ccc(-c5ccc(N(C)C)cc5)s4)c([N+](=O)[O-])c3[N+](=O)[O-])s2)cc1,First-Generation Conditions,Poor Yield,,,,,,
A004B021C027,CC(C)(C)OC(=O)N(c1ccccc1)c1ccc(-c2ccc(-c3sc(-c4ccc(-c5ccc(N(C(=O)OC(C)(C)C)c6ccccc6)cc5)cc4)c4c3OCCO4)cc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B014C031,COc1cc(-c2ccc3ncn(C)c3c2)cc(-c2ccc(-c3cc(OC)cc(-c4ccc5ncn(C)c5c4)c3)nn2)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A007B011C007,FC(F)(F)c1cc(-c2ccc3c(c2)[nH]c2cc(-c4cc(-c5ccc6c(c5)c5cc(-c7ccccc7)ccc5n6-c5ccccc5)cc(C(F)(F)F)c4)ccc23)cc(-c2ccc3c(c2)c2cc(-c4ccccc4)ccc2n3-c2ccccc2)c1,First-Generation Conditions,Poor Yield,,,,,,
A017B014C007,COc1cc(-c2ccc3c(ccn3C)c2)cc(-c2ccc3c(c2)[nH]c2cc(-c4cc(OC)cc(-c5ccc6c(ccn6C)c5)c4)ccc23)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B019C013,CN(C)c1ccc(-c2ccc(-c3cnc(-c4ccc(-c5ccc(N(C)C)cc5)cn4)c4nsnc34)nc2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A014B005C043,CN(C)c1ccc(-c2cncc(-c3cc(F)c(-c4cncc(-c5ccc(N(C)C)cc5)c4)c4nsnc34)c2)cc1,First-Generation Conditions,Failed Synthesis,,,,,,
A016B017C013,Cn1cnc2ccc(-c3ccc(-c4ccc(-c5cnc(-c6ccc(-c7ccc(-c8ccc9ncn(C)c9c8)s7)s6)c6nsnc56)s4)s3)cc21,First-Generation Conditions,Poor Emission,,,,,,
A014B014C042,COc1cc(-c2ccc(N(C)C)cc2)cc(-c2cc(O)c(-c3cc(OC)cc(-c4ccc(N(C)C)cc4)c3)cc2O)c1,First-Generation Conditions,Failed Synthesis,,,,,,
A012B015C034,CCn1c2ccccc2c2cc(-c3c(-c4ccc5ccc(-c6sc7ccccc7c6-c6ccc7c(c6)c6ccccc6n7CC)cc5c4)sc4ccccc34)ccc21,First-Generation Conditions,Failed Synthesis,,,,,,
A017B007C017,Cc1cc(-c2ccc(-c3c(-c4ccc5c(ccn5C)c4)cnn3C)cc2)c(C)cc1-c1ccc(-c2c(-c3ccc4c(ccn4C)c3)cnn2C)cc1,First-Generation Conditions,Poor Yield,,,,,,
