smiles,Gain Cross Section (cm^2),Quantum Yield,Emission Lifetime (ns),Spectral Gain Factor (cm^2 s),Emission Wavelength (nm)
FC(F)(F)c1cc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)ccc1-c1cc2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2o1,5.1726560265128583e-17,0.49300093137705725,1.3314311907951495,3.4878229790032494e-25,406.42412516191064
O=S(=O)(F)c1cc(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)ccc1-c1cc2cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2o1,1.417153389674886e-17,0.15595048135422382,1.6286664134289972,3.346638518342965e-25,392.4421243526405
Fc1c(F)c(-c2c(F)c(F)c(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(F)c2F)c(F)c(F)c1/C=C/c1ccc(-n2c3ccccc3c3ccccc32)cc1,6.009277841515413e-17,0.49901794389327836,2.6058556280711582,7.757628153961426e-25,543.4018242255393
COC(=O)c1cc(-c2ccnc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c2)c(-c2ccnc(-c3cccc(N(c4ccccc4)c4ccccc4)c3)c2)[nH]1,9.515641612434938e-20,0.007821930635923492,nan,nan,nan
Fc1cc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)ccc1C=Cc1ccc(-n2c3ccccc3c3ccccc32)cc1,1.5325886782197028e-16,0.9302109511726679,1.618204666941804,6.384730330747636e-25,471.3568905299264
O=[N+]([O-])c1cc(C=Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)ccc1C=Cc1ccc(-n2c3ccccc3c3ccccc32)cc1,1.0776494404449288e-16,0.6641509917173598,1.5886947692388766,5.800075756165507e-25,445.9097631866412
CCn1c2ccccc2c2cc(-c3ccc(C(F)(F)F)cc3-c3cc(C)c(-c4cc(C(F)(F)F)ccc4-c4ccc5c(c4)c4ccccc4n5CC)nn3)ccc21,1.8752833696969275e-20,0.009287509942027362,nan,nan,nan
c1ccc(-c2ccccc2-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c(-c2cc3cc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)ccc3o2)c1,5.513460588596359e-17,0.4208552159043451,1.1865228063942794,4.1322010326599467e-25,385.4421431325997
CC1(C)c2cc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)ccc2-c2ccc(/C=C/c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc21,2.616549502014667e-16,0.9124158524133581,1.034582032836112,6.693098235725357e-25,445.9097631866412
CC(C)(C)OC(=O)n1ccc2cc(-c3cccc(-c4ccccc4-c4ccccc4-c4cccc(-c5ccc6c(ccn6C(=O)OC(C)(C)C)c5)c4F)c3F)ccc21,5.733008471174743e-20,0.004569711177752539,nan,nan,nan
