hid,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29
B001,3.5626044067263236,-4.200708020655129,-3.543981345260589,-0.16430885422522734,0.7562349554111939,1.2597734024486533,0.3892196394104636,-1.2399954415965895,0.5625004194791944,0.16967803486771893,0.7900032285808797,-1.5382761031493715,0.4884579740251099,1.2380339121352746,0.746795251087427,0.35420907413689695,0.3301988521710101,-0.39189492909902557,-0.2796134414749162,-0.1633663944231109,-0.31762855883562824,1.1435889863414421,-0.031108179780582168,0.11855213062394243,0.2303532495458045,0.11575799986053517,-0.028697580338402428,-8.09566386739371e-05,-1.0228410777495909e-05,1.9981769897575265e-15
B002,-2.852266987207756,-1.3265020288856266,6.082375772166454,-0.2090343947561502,2.6203478608029265,-0.43178613534393695,-0.33666438490739764,0.5074994923380832,-0.28174143167869703,1.302034897316579,-0.20303222217384692,-0.6153268826122368,0.1845494434899282,0.17314126705457683,0.9719742727417542,-0.31197215672571876,1.5247719579704664,0.5043921766309851,-0.36117736523566996,-0.4139865207183744,0.9998430164668175,-0.04978258569812295,-0.046185355397870234,0.16974202462410665,-0.0006192873486447471,0.011263533551569624,0.022312507508487976,4.834524966329936e-05,8.847577561360298e-06,1.998176989757526e-15
B003,-10.024178009867507,-2.436304527271889,-1.9483739472474855,1.3317037964551928,3.087962305305046,1.0412762320277986,1.8806260226611133,0.21809023371520914,0.2121565740095596,-1.1198011763357263,-0.2000932717297249,0.38425939415253174,0.19124689511588822,-0.36497725579692647,-0.9052001117302627,-0.04554688468947823,-0.059839603693624406,0.18652362525995486,-0.059244142051548994,0.05732401941103628,0.06364583209809237,0.01804096316994915,0.03757530190014424,0.005314867021319516,-0.0008925277302134704,0.020581932263684478,-0.005318025417089947,0.0074062887407433525,0.020388693016548682,1.9981769897576318e-15
B004,-2.467699768877008,0.004306114259449215,0.8351330525369732,-2.8034876754908926,-0.44122814845375796,-0.6374331109238852,-1.006188683137577,-0.4526896690536603,-0.9891187916888359,-2.0588408516740073,-0.32813540530296087,-0.5427764017499647,-0.00020720022516618975,-0.09265112844947627,0.4778949002126457,0.028081029369927638,-0.193922258939762,-0.5358442506825682,-0.3785533584582165,0.31590429136003995,-0.10199628014330896,-0.18424890044383802,-0.307784827277785,0.15046538554465372,-0.0007646008697683731,0.044803192700134185,0.1844196946969333,-0.06145098709385451,0.002510649268178765,1.99817698975753e-15
B005,-1.4195550117162343,0.08448586770102696,-1.4309310353040294,1.4192389922553899,-2.16833708198837,-0.951474945907038,-1.7316326835038571,0.46374558929655335,-0.9746109924415963,-1.7001496983635995,0.24424812188900527,-0.751390711478961,-0.19864367525404966,-0.39145074062410073,0.6685675811851134,-0.44895560700863335,-0.7187521391313296,1.4528926859407267,0.45762191453505047,-0.4444639663175179,0.38476254592412573,0.29761730431847655,-0.028792032284366033,-0.32028999778528894,0.3322560378172717,-0.2687906597262589,0.04303568117301519,-0.0001894974418148398,2.0582978574725444e-05,1.998176989757528e-15
B006,-4.718648701004755,1.1675300707859233,2.795434691659745,-2.1839198272771916,-1.0934104585644655,0.6007378100402108,2.8152577794019984,-0.25425875702435696,-1.228806740158431,2.378573355727899,-1.158669025122813,-1.124959263992857,0.12199376744695732,-0.5110528581454151,0.34257429846908416,-0.353935519256186,-0.16558544538375797,-0.3256401287114546,1.1338414273959028,0.2099420066266024,-0.3595165998713726,0.24594194276886466,-0.491974071096853,-0.31323416313353647,-0.01411699542851469,-0.013867764422296697,-0.03143559546548872,-9.182196239431019e-05,-2.8833176720148836e-05,1.998176989757525e-15
B007,-2.388833170239548,2.264667018687403,3.131844979273337,-3.465898717321733,-3.0695245100770956,3.552955546811157,-0.17039832697371218,2.355117187393884,2.5897722215225634,-0.2694991214770172,1.176385394035447,0.5036684021793071,-0.09532883783471988,1.7819557780176767,-0.8528929789817822,0.39529212534479574,-0.3381483052450276,0.41366725106877134,0.03717842449457631,0.17289330746950154,0.26280974496231163,0.11037587030718879,-0.18451668011866626,0.0015332880692082152,-0.007740974169500388,0.020551348195247038,0.0004903480568701145,4.563023185533644e-05,5.876879921533959e-07,1.9981769897575245e-15
B008,-1.576194559398986,-1.811915279241394,0.049912090687845724,-2.758101335016386,1.6790472320239473,-0.9988121841240727,0.038577537868635624,1.1899711638516595,-0.5912568972327078,1.1184897525255884,-0.027779899090610592,0.807966345720144,-0.2619298293438319,0.27463996398456825,0.8536094163439336,0.14606814452147976,-1.103628573140177,-0.5327045756422286,-0.48628921025337457,-0.30925149731528806,-0.026492067112205617,0.0015175904389584153,0.15492107651017806,0.2357059486657131,-0.0886617137549714,-0.5521437816141994,-0.22948223615242652,-0.0007741778502895642,-0.00013849078166082375,1.9981769897575146e-15
B009,-0.617047812068336,-1.6700125138694095,-1.708068562231738,0.7038440557018979,0.08170307658754886,-1.5226275594676761,-0.42610160924809687,1.2392417161268265,-0.4363156980357303,0.9072343531237831,0.9686765175043222,0.48087371795597195,-0.3804297401218028,0.11127075948729391,0.7401700196575923,0.020011314298964487,-0.9074059458512381,0.1576364209673222,0.3226370905686367,-0.6759305309776199,0.025542135243417197,-0.4296539422108157,-0.38607402265366164,0.25642794444224376,-0.017212041119354288,0.6323355185706216,-0.10461278104851435,-1.2860206399236382e-05,-4.3225271986275814e-05,1.9981769897575292e-15
B010,0.1443970593839726,2.6693844067778545,-1.2404788455342288,-0.14609191827435872,1.0356641286822645,-1.5958027513574538,-1.016360207497271,-2.528921217050984,2.550581917268824,-0.5084973203989138,0.44167681295466454,0.49425318491650916,-0.36331585682829115,-0.5177506898750293,0.10667109177937029,-0.14020854076271508,-0.052965962586234906,-0.5352722678904309,1.2771701287303217,0.26264827921398354,0.74664265747522,0.30348179911162265,0.13313138339364594,0.41571873236262524,-0.12437040863893489,-0.0741141694670759,0.006435759517899242,-1.3976041662162886e-05,-7.517402132069981e-06,1.9981769897575205e-15
B011,4.436815109286064,9.741343829548855,-2.1129033522970815,1.3746461297482864,4.916513678627307,3.3966544169140134,-0.2576075318810363,1.0071580787386736,-2.0097091223202908,-0.15332974550077466,0.7196862118471918,-0.285738655546741,-0.07822502216953608,-0.04238967060337727,0.42404483001674537,0.04224562527879291,0.00042697186712492265,-0.16275427792200886,-0.045625335946052344,-0.05882953156867299,-0.009804254429407744,-0.012418860365256109,-0.004395648355477211,-0.01623969811602901,-0.004464519394770119,0.0038639906527534796,0.0003723450862598342,1.9706135764548655e-06,-2.2522131773061305e-06,1.998176989757526e-15
B012,0.21127800287495568,2.463954889909952,-1.8428387852508277,2.0969695802275266,-0.6511994347491284,-2.780644361749716,0.08302442453536699,0.5414790227206587,0.2163452539375686,0.8359888234176852,-1.4043841456663417,0.13794060754115017,-0.5928073440829315,0.11475226417633709,-0.5442054656383821,2.7121233707763017,0.40139183452666705,0.35501177522976,-0.1910610400910914,0.10837307197787262,-0.004459663440826419,0.10427480858697274,-0.47541080095869376,0.05959866699589374,0.024873677703513394,-0.0979494365100967,0.01991581366112572,0.00010873933603143575,-3.8598994210924244e-06,1.9981769897575276e-15
B013,2.007154695404108,0.7953745857637703,-1.1197147797295537,-0.16987291455468806,-0.23652706908434457,-1.9721086175619653,-0.823955634006469,0.0650163321318571,-0.8296042585714043,0.8092734063780906,0.14697652571611616,0.6082016228749902,4.25477727531922,0.6418192294594085,-0.8474792411671279,-0.2080579595104638,-0.0629785504149076,-0.05352466991819185,0.09322599214943665,0.1735638795878052,0.15781064565391018,-0.14712453115639562,0.010714876034891805,-0.050714877193541334,0.062328591632185404,-0.016046842527263235,0.007269752262732073,-0.00011902492658401559,1.9437771966414878e-05,1.998176989757524e-15
B014,3.0582325372334584,1.0784322376576854,-2.024530587038929,0.8646551219970988,-2.639354765122978,-0.5121123713875941,1.4515250051772568,3.615990566310738,2.671360854176576,-0.13857477991613584,-0.03518776883348468,-1.7445910230201949,0.5181902041113456,-2.0240541513280266,0.02979538023508455,-0.42258211603200924,0.24595710767285664,-0.6634579508688025,-0.34124677623857197,-0.2910719695946745,0.04528185562567906,-0.16664469330443535,0.15481289148409794,0.05844210996435866,0.0202366170257264,-0.036111961835858054,0.013831222493282006,-2.340252350237318e-05,4.478764657506248e-06,1.9981769897575253e-15
B015,6.456915838034062,-0.9126412496072631,4.9181216972257555,-0.5193106900898813,1.229949116567996,-2.3257919737789376,1.3967605565264238,0.1874238098535741,-0.5947255968943241,-1.9189834622177186,2.404435291482318,1.2045810862642785,-0.34166077297590414,-0.6526167482003693,-0.9374560392976774,0.22358248894899138,0.5699254815373315,-0.29995514664454065,0.25745206565192663,-0.5442875795184194,-0.5166852559121988,0.22848964717258508,-0.17298882577800795,-0.2340237936334542,0.015761969655554344,-0.06258097022957942,-0.025840642142890394,-0.00011463578700179162,-1.4964691791357939e-05,1.9981769897575304e-15
B016,1.2581231723124917,0.7272504195498961,-0.00546296779744796,3.1432139674641943,0.08805904367000206,-3.08422116078782,-0.387864843614072,2.151985441190124,-0.6309330582207224,-0.19435388035628168,-1.2091589090232122,-0.3102279380730262,-1.4218991866890864,2.1764345745366978,-0.9601715055328127,-1.6010386716178915,0.15394654163636912,-0.4622488907167638,0.06187680541229618,0.3730409148775753,-0.08490192433106006,0.18256224820914613,0.11015836274183277,-0.01853588256385767,-0.03605027348167349,0.019921892937977952,-0.007327357208214823,3.5046227113812345e-05,4.185443582784413e-06,1.9981769897575237e-15
B017,9.19131665993435,-2.8561413328713052,5.08651548243918,3.413479973189473,1.0297095180834024,2.7671860851517436,-0.570345582790679,-1.4388321513937108,0.6307933122164938,-0.6728843321737767,-2.178054632968856,-0.6340529969960521,0.3325506139330859,-0.058656889040272574,-0.7951020644261312,0.2827054245121181,-1.051793797364484,-0.21299294291438828,0.03562054084811544,-0.4788187722263287,0.14560827564776244,-0.14517418878318195,-0.06656698459525792,0.03316986119724805,-0.0634153406850117,0.00536436925325576,0.003356300745700145,3.520039857032707e-05,1.3927349957477228e-06,1.998176989757525e-15
B018,-1.1491529546873733,-0.884230271802496,-1.2942969961481445,0.7909848588926358,-2.5252639668076253,1.393792294127162,-2.563659153568953,-1.1924056299536077,-0.7182763642644058,-0.3907611004496835,0.23271373892591202,0.2508629252384249,-0.3939241477712395,-0.8438229922303402,-0.37532691013918057,-0.16304045041906093,0.5190178064203465,-0.6208323899844795,-0.4517302480212424,0.48645684716238174,0.5448662295050378,-0.007010754644705787,-0.3466292170481641,-0.4165623511712009,-0.04112370220591784,0.07970156994983113,-0.3461127872215304,-0.0007281918247944342,-0.00016321860256666122,1.998176989757515e-15
B019,-1.3403520295611078,-0.7546660687348556,-1.0164229717450641,0.3538415142972807,-2.7959884091455387,2.295396315916024,-2.074472378428826,-0.507063709404808,-1.300924116788067,1.1345467713403894,0.002725231126558536,0.3219988572791423,-0.3365165902318308,-0.5838032207454713,-1.1403336304446816,-0.5701288615740523,0.8347840825448517,0.33968669188544454,0.2784315654671683,-0.33923781149387633,-0.7944056602598594,-0.17710960490795957,-0.0480736056921579,0.6653748420044403,0.12061385261913872,-0.16751394842693962,0.006819704017673923,-0.00016103490075279462,-9.979343164352739e-06,1.998176989757531e-15
B020,-0.8700251565714854,2.6361910504486494,0.628203843108152,-3.223683076176412,1.8290482801435664,-1.148367393235189,-0.4417080454448993,-1.9465686746157385,1.7189542526614603,0.9295113397157053,-0.7954164736452652,0.04352079557933265,-0.6714966556018056,0.02748766183378892,-0.4778202098387383,-0.0672726687521272,-0.029980723029895122,-0.07510552509098478,-0.28363895000006134,-0.16308656292953339,-0.2841433201810668,-0.44728764888277645,0.4659762740091668,-0.23628888291245995,0.6535560839513705,0.14279306774332257,-0.05321137536908006,-0.00040673048095094666,8.147082606442242e-06,1.998176989757529e-15
B021,-0.26445971124855927,-2.7340218034974924,-1.8930519929539544,0.6287759782472809,-0.29262835804284404,1.0210011804233652,-1.5770674857359892,0.32178648401628845,-0.28590508870294457,2.721350451457656,0.6479697606306141,1.4381760420759373,-0.7567601670883659,-0.39061659107915586,-0.17225238580207908,0.06403537774595891,-0.2053253249990328,-0.7175521491641375,-0.1262674203084993,-0.24291879656904056,0.3115630528598393,0.14872175671886947,0.16979587721961076,-0.4192589883171468,-0.06539677791011907,-0.025534020583243732,0.3559610413807519,0.0008881483588897226,0.00017072905207649538,1.9981769897575328e-15
B022,-0.12637327875483356,2.504610856116472,-1.035877769852853,-0.5729325303985816,0.8684679947729259,-1.3235141052250972,-0.4295193616174094,-2.5040455561161203,2.0856585476698957,0.9106616973531584,0.28042168691652225,-0.5092181234815482,0.0028913909895109287,-0.09984154448655264,-0.14688053383272817,-0.9799143156215925,-0.17077378735596474,0.9837828352547031,-0.7938841427017553,-0.2356967347839262,-0.5560877775898635,0.08666449408560221,-0.3264522796816325,-0.17608065330185335,-0.5187895952641611,-0.026863182943810095,0.0245719959442404,0.0003416258990175523,-8.269608485606816e-06,1.9981769897575292e-15
B023,10.762991754459808,-2.397635199726408,-2.6832792358775914,-3.3868086986632537,0.8524086995586667,0.8682518447136983,1.109243667113872,1.2485009438613477,0.2111384033871875,-0.5453014757696008,-1.9466603131863873,2.146491608061769,-0.15789732371241597,-0.6161629327342427,0.7498511756470696,-0.5197849419832573,0.4246868763789162,0.8155014267745349,0.08697108140106037,0.5586946877396259,0.0031133696077050546,0.14642865540811612,-0.05703335219179311,-0.00047862541234520035,-0.010673943291553996,0.09179347104199345,-0.0007449546991655596,5.5440354410364254e-05,6.028670087166575e-06,1.9981769897575272e-15
