hid,smiles,CAS,compatible_with_gen_2
C103,Nc1c(Br)cc(F)cc1Br,344-18-3,True
C104,Oc1c(Br)cc(F)cc1Br,344-20-7,True
C105,COc1c(Br)cc(C)cc1Br,51699-89-9,True
C106,CC(C)(C)c1cc(Br)c(N)c(Br)c1,,True
C107,Nc1c(Br)cccc1Br,608-30-0,True
C108,N#Cc1c(Br)cccc1Br,,True
C109,CC(C)(C)OC(=O)n1nc(Br)nc1Br,,True
C110,NC(=O)c1ccc(Br)nc1Br,,True
C111,Nc1c(C(=O)O)cc(Br)c(F)c1Br,,True
C112,Cc1nc(N)c(Br)nc1Br,,True
C113,Nc1ncc(Br)nc1Br,,True
C114,CC(C)(C)n1cc(Br)c(Br)n1,,True
C115,Brc1cocc1Br,,True
C116,O=C(O)c1scc(Br)c1Br,,True
C117,Fc1ncc(Br)cc1Br,,True
C118,COc1ncc(Br)cc1Br,,True
C119,COc1c(Br)cc(N)cc1Br,,True
C120,Nc1nc(F)c(Br)cc1Br,,True
C121,Cc1nc(NN)c(Br)cc1Br,,True
C122,COc1cc(Br)cc(Br)c1,,True
C123,N#Cc1cc(Br)cc(Br)c1,,True
C124,OCc1cc(Br)cc(Br)c1,145691-59-4,True
C125,Oc1cc(Br)cc(Br)c1,626-41-5,True
C126,N#Cc1ncc(Br)cc1Br,,True
C127,O=C(O)c1c(Br)cncc1Br,,True
C128,Cc1nc(Br)ccc1Br,,True
C129,Cc1cc(Br)nnc1Br,,True
C130,CCCCCCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,,True
C131,CC(=O)Nc1n[nH]c(Br)c1Br,,True
C132,Cc1nn(C)c(Br)c1Br,,True
C133,Cn1nnc(Br)c1Br,,True
C134,O=C(O)c1cc(Br)c(Br)o1,,True
C135,Nc1[nH]nc(Br)c1Br,,True
C136,COc1c(Br)cc(Br)c(F)c1F,,True
C137,Oc1c(Br)cc(Br)c(F)c1F,,True
C138,Nc1c(Br)cc2nc[nH]c2c1Br,,True
C139,S=c1[nH]c2c(Br)cc(Br)cc2o1,,True
C140,O=C(O)c1cnc(Br)cc1Br,,True
C141,Nc1nnc(Br)cc1Br,,True
C142,Brc1ccc(Br)c2[nH]ccc12,,True
C143,Brc1ccc(Br)c2n[s]nc12,,True
C144,Fc1c(F)c(Br)c2nsnc2c1Br,,True
C145,Brc1ccc(/C=C/c2ccc(Br)cc2)cc1,,True
C146,Brc1ccc(-c2ccc(Br)s2)s1,,True
C147,Brc1cc2nsnc2cc1Br,,True
C148,O=c1[nH]cnc2[nH]c(Br)c(Br)c12,,True
C149,O=C1Nc2c(Br)cc(Br)cc2C1=O,,True
C150,COc1cc(Br)c2ncccc2c1Br,,True
C151,Brc1cc(Br)c2nccn2c1,,True
C152,Brc1cc(Br)c2nccn2n1,,True
C153,O=C(O)CCCCCCOc1cc(Br)cc(Br)c1,,True
C154,Brc1cc(Br)cc(N2CCC3(CC2)OCCO3)c1,,True
C155,COC(=O)c1cc(Br)c(C(=O)OC)cc1Br,18014-00-1,True
C156,CCOC(=O)c1nc(Br)oc1Br,,True
C157,CCOC(=O)c1cc(Br)oc1Br,,True
C158,COC(=O)c1cc(Br)oc1Br,,True
C159,COC(=O)c1cc(Br)cnc1Br,,True
C160,COC(=O)c1cc(Br)c(F)c(Br)c1N,,True
C161,COC(=O)c1cc(Br)c(Br)[nH]1,937-16-6,True
