hid,smiles,CAS,compatible_with_gen_2
B057,CC1(C)C(=O)O[B-]2(c3cscc3Br)OC(=O)C(C)(C)[N+]21C,,True
B058,CC1(C)C(=O)O[B-]2(/C=C/c3ccc(Br)cc3)OC(=O)C(C)(C)[N+]21C,,True
B059,CC1(C)C(=O)O[B-]2(c3cc4cc(Br)ccc4o3)OC(=O)C(C)(C)[N+]21C,,True
B060,CC1(C)C(=O)O[B-]2(c3ccccc3-c3ccccc3Br)OC(=O)C(C)(C)[N+]21C,,True
B061,CC1(C)C(=O)O[B-]2(c3ccncc3Br)OC(=O)C(C)(C)[N+]21C,,True
B062,CC1(C)C(=O)O[B-]2(c3cccc(Br)c3F)OC(=O)C(C)(C)[N+]21C,,True
B063,COc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,,True
B064,CC1(C)C(=O)O[B-]2(c3ccc(-c4ccc(Br)s4)s3)OC(=O)C(C)(C)[N+]21C,,True
B065,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,,True
B066,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,,True
B067,CC1(C)C(=O)O[B-]2(c3cc(Br)no3)OC(=O)C(C)(C)[N+]21C,,True
B068,CC1(C)C(=O)O[B-]2(c3sc4ccccc4c3Br)OC(=O)C(C)(C)[N+]21C,,True
