hid,pc_0,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16,pc_17,pc_18,pc_19,pc_20,pc_21,pc_22,pc_23,pc_24,pc_25,pc_26,pc_27,pc_28,pc_29
A001,-0.9295395025155316,-3.4835766628633413,0.5560908060711109,0.2139871471939727,-1.1805774089506185,0.5979887746755485,-0.22976886463814383,0.8698447047774185,0.8413027088001802,1.0312473138271032,-0.20494649370346324,0.07736022618541133,-0.6312616986586964,0.23874575565381484,-0.7533136477400039,-0.5479333847427564,-0.6078314672934045,0.052180738334577086,0.4640529121010362,0.4805892176605075,0.9280201156882023,0.19122562617510958,-0.007251637472214254,0.0415456956244396,-0.3210641572647351,-0.1205668756918639,-0.09247078320824312,0.24804896396071033,-0.024066137836205564,-0.25248077061169927
A002,-0.5846703185977078,0.31307400204591807,-4.534210676768406,1.210253318090825,-1.3829159810162739,-1.2271399640248495,-0.19104129138473622,1.2460575431144507,0.2278404716643026,0.13002241923874908,-0.10816946116626949,-0.34879128976272317,0.09478407932230623,0.0326025177416633,-0.8676410205681286,-0.24280886540794475,-0.2822134054789547,0.005837786538513065,-0.1000547435630502,-0.3114600033501319,0.6121064515359834,-0.07302680494191129,-0.043517679494839555,0.29466853544204824,0.011655490816788926,-0.1876204665449211,-0.209322268023396,0.23009100577778352,-0.056557787866005294,-0.05165479550402612
A003,-2.673734574973831,4.211657662491432,-1.9865257924775606,-1.4887974446534464,4.550891653992978,-2.1504922272608424,-1.1553431496639277,2.1085414605306334,0.8868803442296093,-1.2005120783763295,-0.6029085390041724,-0.07005884098204784,0.3176761578796746,-0.1969444152043632,-0.6806865928408534,-0.1006570128933331,-0.6834744014398724,0.5569415319462779,0.08490527015173287,-0.2288242034897706,-0.24431166181563296,-0.13623554659487652,-0.19137504579698125,-0.7063452663085897,-0.38493199800808214,0.14060088999174322,-0.16841590332280065,-0.21552996424565554,0.12562731353865325,-0.1123983903132065
A004,0.7729454688457748,7.845800323484231,-1.6279185325279932,-5.23838326178772,-3.969954409046555,1.0095951549872977,-0.10416218363257052,-0.37173429066984454,-0.528270023968713,0.20791994400245575,-1.2835538210556223,-0.1573737841130604,0.2528614549934799,-0.09355560429786271,0.7304926046550387,0.44914164845262744,0.6936839960716948,-0.38036389125810555,-0.5549094249206874,-0.13699005550464452,0.5374028873313279,0.871901300971887,0.6449138409529044,-0.327877005710345,-0.13169781359936092,0.02396348126871305,0.0007449777044057519,-0.034954891518365394,0.0241466864062109,-0.01653264673747309
A005,-6.062458898257193,0.5739873223185304,-3.9745663071549724,0.5438151002115027,0.6689206123137007,-2.6074083507954535,1.036968391412499,-1.0933627243873685,1.1247349078141837,-0.14000544923405142,-1.076540308836095,0.2940844262553304,0.6707662267027182,0.7974587663982309,-0.1315412925613604,-0.19809718820865924,-0.11444513527153893,-0.28116969971739597,-0.04440529558056858,0.20453103446211213,0.16875497948782825,0.21411943148156826,-0.25264439748109346,0.3509935179046396,0.09300796877729754,0.08656808502687965,0.23800915160229794,-0.11510200921398395,0.05545542483349821,-0.0035313648206979275
A006,-6.395423676774666,-3.1634357385449174,1.051010441918126,-0.724463359828133,0.6360774680329577,-1.1319056621907173,1.4060982953611365,-1.4552691032090028,-0.1656641284945465,-0.6357537376745519,-0.8542954404590152,0.2723575418705813,-0.37879087614844276,0.27462028525517385,0.7793328894994759,0.2094583242891398,-0.16743548777294168,0.1716373502228103,0.3312825197388608,0.5822824640557879,-0.3564740441423342,0.30523905591318684,-0.04624543650183904,-0.22826656722326985,0.1138023956705128,-0.158420224140511,-0.24592140468054816,0.1325654394552272,0.014223616966781151,0.058360726922909896
A007,-6.50765295627491,-2.92032344875504,1.2180321100380578,-0.8431681687458594,0.4528199083113481,-1.0311779028031678,0.9354832824362747,-1.5663342929444233,-0.18044148359836512,0.31071745460791156,-0.19680072565343987,-7.587930261766766e-05,-0.2538169977353722,0.4451620511993471,-0.16307682309652358,0.6552345225539659,-0.04344808612597076,-0.366132581951161,-0.22436934885496382,-0.5235237867616183,-0.05637810164018141,-0.695788117173531,0.626091221564563,0.006580474990046642,-0.13278821981596978,0.08930050211467568,0.013914337520907462,-0.007979823660458733,-0.09741348623642948,-0.07360835512775653
A008,-0.9944559374748645,-3.6556142267868705,1.0835168998773816,0.34919167010607316,-1.4174193263596828,0.35697526999538237,0.08743985748315462,0.595707891879791,-0.07102980475550463,0.565737366922813,-0.19011362218079977,-0.2254694384178711,0.23629997565909056,0.10964831981062532,-0.4728721286807621,0.5091865204695946,-0.23349793742001862,-0.6079970072913102,-0.5554454051800645,-0.5733413581081318,0.6595424874132142,-0.32752407826150304,-0.3068017187347939,-0.10220122075761467,0.023027065021084623,-0.04402085175676821,-0.18166010293130105,-0.008852942293420001,0.40757622019769324,0.3120718004526323
A009,-0.6017119076691033,0.13371752681742405,-4.371743918168398,0.8566467805119288,-1.6577065968502545,-1.2170352575597299,0.34149097736244566,1.6155252182301978,-1.7762552409749568,-1.2573051757493308,0.17319827408131303,-0.6000803253386062,-0.18818722532921578,-0.45065443999512317,0.08254589019725343,-0.17265297954057773,0.1661221828295267,0.1712149788744478,0.049770700146935416,-0.2917055209175089,-0.1626216836563453,-0.10242370437460599,0.07937281782675887,0.05599459818899305,0.3332215799415743,0.155106137328588,-0.1282410320649514,0.035004654302649034,-0.088050144435605,-0.008338816019731106
A010,-0.9395503961517846,-3.673717408457675,0.7443728574495225,-0.11130134501630176,-1.3556903542515937,0.509216816863421,0.382360359533759,1.2557034690125983,-1.1906279936814648,-0.5532191530643981,-0.0023189312170723885,-0.20824480735254502,-0.8406034530314328,-0.21893733839105284,0.1244132488349696,-0.4501781932561149,-0.08256853837513854,0.23569675973737392,0.5129561200764247,0.3767698319857681,-0.01457330561371934,0.04240099538106621,0.17336291842949497,-0.001290724610270366,-0.28403425353285894,0.3063028165158038,0.2379482192849947,0.02901599257021281,0.08043752225353304,0.09680613376585977
