molecule_id,created_on,updated_on,hid,smiles,smiles_wo_block,smiles_w_sub,commercially_available,CAS,molecule_type_id
8a79aa1b-4f29-4bc7-94f3-03036b6ce3c3,2022-01-18T13:02:06.282310,2022-01-18T13:02:06.282310,A013,OB(O)c1ccc(-n2c(-c3ccccc3)nc3ccccc32)cc1,Cc1ccc(n(c(c2ccccc2)n3)c4c3cccc4)cc1,F/C(F)=C/c1ccc(n(c(c2ccccc2)n3)c4c3cccc4)cc1,TRUE,867044-33-5,2d012b56-8260-4f9e-8ede-2c8546baf21c
e5a44560-f10d-46fa-895a-0e1a4632e6c1,2022-01-18T13:02:14.717757,2022-01-18T13:02:14.717757,A014,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CN(c1ccc(C)cc1)C,CN(c1ccc(/C=C(F)/F)cc1)C,TRUE,171364-78-6,2d012b56-8260-4f9e-8ede-2c8546baf21c
05ca4304-bea5-41b7-a7f1-c2bc46462153,2022-01-18T13:02:23.108972,2022-01-18T13:02:23.108972,A015,CN(C)c1ccc(B2OC(C)(C)C(C)(C)O2)c2ccccc12,CN(c(ccc1C)c2c1cccc2)C,CN(c(ccc1/C=C(F)/F)c2c1cccc2)C,TRUE,1007126-41-1,2d012b56-8260-4f9e-8ede-2c8546baf21c
d8286ae3-b3e5-4767-bc10-245c8b052061,2022-01-18T13:02:31.403510,2022-01-18T13:02:31.403510,A016,Cn1cnc2ccc(B(O)O)cc21,Cn(cn1)c2c1ccc(C)c2,Cn(cn1)c2c1ccc(/C=C(F)/F)c2,TRUE,1107627-21-3,2d012b56-8260-4f9e-8ede-2c8546baf21c
c48d4657-acde-42f1-86ed-ad85bf0f3b5f,2022-01-18T13:02:39.782816,2022-01-18T13:02:39.782816,A017,Cn1ccc2cc(B(O)O)ccc21,Cn(cc1)c2c1cc(C)cc2,Cn(cc1)c2c1cc(/C=C(F)\F)cc2,TRUE,192182-55-1,2d012b56-8260-4f9e-8ede-2c8546baf21c
fa572b13-f358-4beb-b2fe-34d4ff2ba435,2022-01-18T13:02:48.159408,2022-01-18T13:02:48.159408,A018,Cc1ccc(N(c2ccc(C)cc2)c2ccc(B3OC(C)(C)C(C)(C)O3)cc2)cc1,Cc1ccc(N(c2ccc(C)cc2)c3ccc(C)cc3)cc1,Cc1ccc(N(c2ccc(/C=C(F)/F)cc2)c3ccc(C)cc3)cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
f4f3e748-5bac-4c49-aa15-06431de12158,2022-01-18T13:02:56.301122,2022-01-18T13:02:56.301122,A019,COc1ccc2c(c1)c1cc(OC)ccc1n2-c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,COc1cc2c(cc(OC)cc3)c3n(c4ccc(C)cc4)c2cc1,COc1cc2c(cc(OC)cc3)c3n(c4ccc(/C=C(F)/F)cc4)c2cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
b55ff3ac-09bc-46c0-90d8-f15208a79316,2022-01-18T13:03:04.832943,2022-01-18T13:03:04.832943,A020,CC1(C)OB(c2ccc(N3c4ccccc4Oc4ccccc43)cc2)OC1(C)C,Cc1ccc(N2c3c(Oc4c2cccc4)cccc3)cc1,F/C(F)=C/c1ccc(N2c3c(Oc4c2cccc4)cccc3)cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
1282c986-f82e-4173-828a-e73fb173d608,2022-01-18T13:03:13.212802,2022-01-18T13:03:13.212802,A021,CC1(C)OB(c2ccc(N3c4ccccc4Sc4ccccc43)cc2)OC1(C)C,Cc1ccc(N2c3c(Sc4c2cccc4)cccc3)cc1,F/C(F)=C/c1ccc(N2c3c(Sc4c2cccc4)cccc3)cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
1337b621-8e93-4d92-9699-cc9f44e2a2f8,2022-01-18T13:03:21.627352,2022-01-18T13:03:21.627352,A022,CC1(C)OB(c2ccc(N3c4ccccc4Sc4ccc(C(F)(F)F)cc43)cc2)OC1(C)C,FC(F)(F)c1cc(N(c2c(S3)cccc2)c4ccc(C)cc4)c3cc1,FC(F)(F)c1cc(N(c2c(S3)cccc2)c4ccc(/C=C(F)/F)cc4)c3cc1,FALSE,,2d012b56-8260-4f9e-8ede-2c8546baf21c
