,molecule_id,created_on,updated_on,hid,smiles,commercially_available,CAS,molecule_type_id,smiles_w_sub
47,414fa319-59e4-4502-b42d-ba9148dbaf72,2022-07-22T03:15:48.489645,2022-07-22T03:15:48.489645,B049,CC1(C)C(=O)O[B-]2(c3cc(Br)ccc3F)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(F)c(C=C(F)F)c1
48,678680d0-c59b-465b-8f00-18cc39f7bcb7,2022-07-22T03:15:49.310025,2022-07-22T03:15:49.310025,B050,CCOC(=O)c1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C=C(F)F)cc(C(=O)OCC)c1
49,f336d089-00b7-4d11-8334-3e0a80b3fa4d,2022-07-22T03:15:50.185536,2022-07-22T03:15:50.185536,B051,CC1(C)C(=O)O[B-]2(c3c(Br)ccc(F)c3F)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(F)c(F)c1C=C(F)F
50,1e06a8bc-391a-4045-b62e-08f7023f0795,2022-07-22T03:15:51.192021,2022-07-22T03:15:51.192021,B052,CC1(C)C(=O)O[B-]2(c3cc(Br)c4ccccc4c3F)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C=C(F)F)c(F)c2ccccc12
51,409bfbcf-35a2-4490-a982-69f61da06dbe,2022-07-22T03:15:52.242039,2022-07-22T03:15:52.242039,B053,Cc1ccc(Br)c([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1F,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(C)c(F)c1C=C(F)F
52,6f337a25-92cd-4ea9-9e17-15a2e347200a,2022-07-22T03:15:53.000258,2022-07-22T03:15:53.000258,B054,Cc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1F,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C)c(F)c(C=C(F)F)c1
53,abdc36dc-0090-46bd-9e86-5c417c38717e,2022-07-22T03:15:54.125913,2022-07-22T03:15:54.125913,B055,CC1(C)C(=O)O[B-]2(c3cc(C(F)(F)F)ccc3Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(C(F)(F)F)cc1C=C(F)F
54,84ce3bfd-53a4-437f-81d6-f69d5224f42c,2022-07-22T03:15:55.013620,2022-07-22T03:15:55.013620,B056,CC1(C)C(=O)O[B-]2(c3ccc(Br)s3)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(C=C(F)F)s1
55,1841aff6-0ae4-4280-b9ef-da99d80882f8,2022-07-22T03:15:55.991093,2022-07-22T03:15:55.991093,B057,CC1(C)C(=O)O[B-]2(c3cscc3Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cscc1C=C(F)F
56,03a63bf0-4251-4791-a3ad-1c8eb003209c,2022-07-22T03:15:56.746878,2022-07-22T03:15:56.746878,B058,CC1(C)C(=O)O[B-]2(/C=C/c3ccc(Br)cc3)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(C=CC=C(F)F)cc1
57,8405d077-7849-4460-bdfe-90194f9febf6,2022-07-22T03:15:57.836772,2022-07-22T03:15:57.836772,B059,CC1(C)C(=O)O[B-]2(c3cc4cc(Br)ccc4o3)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc2oc(C=C(F)F)cc2c1
58,ccf1ba4c-19f6-433b-b608-7a8d4477661f,2022-07-22T03:15:58.640367,2022-07-22T03:15:58.640367,B060,CC1(C)C(=O)O[B-]2(c3ccccc3-c3ccccc3Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccccc1-c1ccccc1C=C(F)F
59,204cc3b4-2d68-4338-96fe-1092e331686d,2022-07-22T03:15:59.588018,2022-07-22T03:15:59.588018,B061,CC1(C)C(=O)O[B-]2(c3ccncc3Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cnccc1C=C(F)F
60,82829a42-18f1-49c3-b9ba-897c0e780d99,2022-07-22T03:16:00.695758,2022-07-22T03:16:00.695758,B062,CC1(C)C(=O)O[B-]2(c3cccc(Br)c3F)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cccc(C=C(F)F)c1F
61,8c82606e-ad81-49cb-8ead-ea79cb198fd8,2022-07-22T03:16:01.460315,2022-07-22T03:16:01.460315,B063,COc1cc(Br)cc([B-]23OC(=O)C(C)(C)[N+]2(C)C(C)(C)C(=O)O3)c1,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C=C(F)F)cc(OC)c1
62,c2925d71-6fca-4667-a3cd-24d707c638a6,2022-07-22T03:16:02.722169,2022-07-22T03:16:02.722169,B064,CC1(C)C(=O)O[B-]2(c3ccc(-c4ccc(Br)s4)s3)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccc(-c2ccc(C=C(F)F)s2)s1
63,bee04f0a-4e95-4302-ade0-b1b10c77cd93,2022-07-22T03:16:03.953560,2022-07-22T03:16:03.953560,B065,CC1(C)C(=O)O[B-]2(/C=C/Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=CC=CC=C(F)F
64,881ba191-60fa-4d48-bff3-00ad0919a986,2022-07-22T03:16:04.687025,2022-07-22T03:16:04.687025,B066,CC1(C)C(=O)O[B-]2(/C=C\Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=CC=CC=C(F)F
65,62529311-7852-4a9d-aa3f-7a0ae6ebd80d,2022-07-22T03:16:05.601663,2022-07-22T03:16:05.601663,B067,CC1(C)C(=O)O[B-]2(c3cc(Br)no3)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C=C(F)F)on1
66,876fd499-482f-4859-b748-90a7cf9e71c0,2022-07-22T03:16:06.416246,2022-07-22T03:16:06.416246,B068,CC1(C)C(=O)O[B-]2(c3sc4ccccc4c3Br)OC(=O)C(C)(C)[N+]21C,False,,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1c(C=C(F)F)sc2ccccc12
