,molecule_id,created_on,updated_on,hid,smiles,commercially_available,CAS,molecule_type_id,smiles_w_sub
0,80ae3faf-ebe1-4306-ab0b-7546691d09ab,2022-01-18T13:05:01.668996,2022-01-18T13:05:01.668996,B002,C[N+]12CC(=O)O[B-]1(c1sccc1Br)OC(=O)C2,True,2346599-94-6,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccsc1C=C(F)F
1,948455a0-8065-471a-9e3f-88e96a71effd,2022-01-18T13:05:18.617578,2022-01-18T13:05:18.617578,B004,C[N+]12CC(=O)O[B-]1(c1cccnc1Br)OC(=O)C2,True,51067-38-0,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ncccc1C=C(F)F
2,8a68e5cc-d330-4449-827c-fb3807e923ea,2022-01-18T13:05:26.957152,2022-01-18T13:05:26.957152,B005,C[N+]12CC(=O)O[B-]1(c1cncc(Br)c1)OC(=O)C2,True,1835721-30-6,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cncc(C=C(F)F)c1
3,53d770a1-28d9-4164-8682-fff95bab4200,2022-01-18T13:05:35.458377,2022-01-18T13:05:35.458377,B006,C[N+]12CC(=O)O[B-]1(c1occc1Br)OC(=O)C2,True,1357387-27-9,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccoc1C=C(F)F
4,0bbf663e-0396-4e3b-8cb8-23cdcf51eba6,2022-01-18T13:05:43.843514,2022-01-18T13:05:43.843514,B007,Cn1ncc(Br)c1[B-]12OC(=O)C[N+]1(C)CC(=O)O2,True,108238-09-1,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cnn(C)c1C=C(F)F
5,3ee2661c-523f-4c4a-aac2-4b6a93f9cf9b,2022-01-18T13:05:52.655271,2022-01-18T13:05:52.655271,B008,C[N+]12CC(=O)O[B-]1(c1ccccc1I)OC(=O)C2,True,1765-93-1,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1ccccc1C=C(F)F
6,dfaa460f-a182-4749-a85d-b7c1b19e9ce0,2022-01-18T13:06:01.059985,2022-01-18T13:06:01.059985,B009,C[N+]12CC(=O)O[B-]1(c1cccc(I)c1)OC(=O)C2,True,1287221-37-7,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cccc(C=C(F)F)c1
7,ada98943-ff1b-4d20-9e5e-3b38bb69e5fc,2022-01-18T13:06:09.532823,2022-01-18T13:06:09.532823,B010,C[N+]12CC(=O)O[B-]1(c1cccc(Br)c1F)OC(=O)C2,True,1257647-82-7,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cccc(C=C(F)F)c1F
8,dfec3362-bbc3-42b5-950f-a7de0ae9965d,2022-01-18T13:06:18.038997,2022-01-18T13:06:18.038997,B011,C[N+]12CC(=O)O[B-]1(c1cc(I)cc(C(F)(F)F)c1)OC(=O)C2,True,2081092-84-2,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(C=C(F)F)cc(C(F)(F)F)c1
9,fef94274-bd2d-47bd-9ba2-87c1b86cf00c,2022-01-18T13:06:26.079206,2022-01-18T13:06:26.079206,B012,C[N+]12CC(=O)O[B-]1(c1cc(F)cc(Br)c1)OC(=O)C2,True,1257650-61-5,fea52f4d-1371-42c2-96d6-dfc177e9ae22,C=Cc1cc(F)cc(C=C(F)F)c1
